DELETE /api/workouts/myworkouts/65a68b3705d0ecf00a52983d status 200, 10.048 ms Tue, 16 Jan 2024 13:57:21 GMT
POST /api/user/authenticate status 200, 10.572 ms Tue, 16 Jan 2024 14:20:07 GMT
GET /api/workouts status 200, 5.888 ms Tue, 16 Jan 2024 14:20:07 GMT
GET /api/workouts status 304, 3.788 ms Tue, 16 Jan 2024 14:20:07 GMT
POST /api/user/authenticate status 200, 3.468 ms Tue, 16 Jan 2024 14:21:54 GMT
GET /api/workouts/myworkouts status 200, 6.483 ms Tue, 16 Jan 2024 14:21:55 GMT
GET /api/workouts/myworkouts status 304, 5.553 ms Tue, 16 Jan 2024 14:21:55 GMT
POST /api/user/authenticate status 200, 5.921 ms Tue, 16 Jan 2024 14:21:57 GMT
GET /api/workouts/workout/65a3b76cb8b419eb9fb4bd77 status 200, 6.592 ms Tue, 16 Jan 2024 14:21:57 GMT
GET /api/workouts/workout/65a3b76cb8b419eb9fb4bd77 status 304, 4.235 ms Tue, 16 Jan 2024 14:21:57 GMT
PUT /api/workouts/myworkouts/65a3b76cb8b419eb9fb4bd77 status 200, 9.514 ms Tue, 16 Jan 2024 14:21:58 GMT
POST /api/user/authenticate status 200, 7.660 ms Tue, 16 Jan 2024 14:21:59 GMT
GET /api/workouts/myworkouts status 200, 9.669 ms Tue, 16 Jan 2024 14:21:59 GMT
GET /api/workouts/myworkouts status 304, 9.307 ms Tue, 16 Jan 2024 14:21:59 GMT
POST /api/user/authenticate status 200, 3.698 ms Tue, 16 Jan 2024 14:22:06 GMT
